short_title,gutenberg_title,gutenberg_id,genre,year,body_count,boas_problem_plays,death,period,romance,problem_play,roman
A Midsummer Night's Dream,A Midsummer Night's Dream,1514,Comedy,1595,0,0,0,Elizabethan,FALSE,FALSE,FALSE
All's Well That Ends Well,All's Well That Ends Well,1529,Comedy,1603,2,1,1,Jacobean,FALSE,TRUE,FALSE
As You Like It,As You Like It,1523,Comedy,1599,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Comedy of Errors,The Comedy of Errors,1504,Comedy,1594,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Love's Labour's Lost,Love's Labour's Lost,1510,Comedy,1595,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Measure for Measure,Measure for Measure,1530,Comedy,1604,1,1,1,Jacobean,FALSE,TRUE,FALSE
Merchant of Venice,The Merchant of Venice,1515,Comedy,1597,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Merry Wives of Windsor,The Merry Wives of Windsor,1517,Comedy,1601,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Much Ado about Nothing,Much Ado about Nothing,1519,Comedy,1598,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Taming of the Shrew,The Taming of the Shrew,1508,Comedy,1592,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Tempest,The Tempest,1540,Comedy,1611,0,0,0,Jacobean,TRUE,FALSE,FALSE
Twelfth Night,"Twelfth Night; Or, What You Will",1526,Comedy,1601,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Two Gentlemen of Verona,The Two Gentlemen of Verona,1509,Comedy,1598,0,0,0,Elizabethan,FALSE,FALSE,FALSE
Winter's Tale,The Winter's Tale,1539,Comedy,1611,1,0,1,Jacobean,TRUE,FALSE,FALSE
"Henry IV, Part 1","King Henry IV, the First Part",1516,History,1597,3,0,1,Elizabethan,FALSE,FALSE,FALSE
"Henry IV, Part 2","King Henry IV, Second Part",1518,History,1598,4,0,1,Elizabethan,FALSE,FALSE,FALSE
Henry V,The Life of King Henry V,1521,History,1599,5,0,1,Elizabethan,FALSE,FALSE,FALSE
"Henry VI, Part 1","King Henry VI, First Part",1500,History,1592,4,0,1,Elizabethan,FALSE,FALSE,FALSE
"Henry VI, Part 2","History of King Henry the Sixth, Second Part",1501,History,1591,6,0,1,Elizabethan,FALSE,FALSE,FALSE
"Henry VI, Part 3","The History of King Henry the Sixth, Third Part",1502,History,1595,2,0,1,Elizabethan,FALSE,FALSE,FALSE
Henry VIII,The Life of Henry the Eighth,1541,History,1613,2,0,1,Jacobean,FALSE,FALSE,FALSE
King John,King John,1511,History,1597,3,0,1,Elizabethan,FALSE,FALSE,FALSE
Pericles,"Pericles, Prince of Tyre",1537,History,1608,2,0,1,Jacobean,TRUE,FALSE,FALSE
Richard II,The Tragedy of King Richard the Second,1512,History,1595,7,0,1,Elizabethan,FALSE,FALSE,FALSE
Richard III,The Tragedy of King Richard III,1503,History,1592,10,0,1,Elizabethan,FALSE,FALSE,FALSE
Antony and Cleopatra,Antony and Cleopatra,1534,Tragedy,1607,9,0,1,Jacobean,FALSE,FALSE,TRUE
Coriolanus,The Tragedy of Coriolanus,1535,Tragedy,1608,2,0,1,Jacobean,FALSE,FALSE,TRUE
Cymbeline,Cymbeline,1538,Tragedy,1610,2,0,1,Jacobean,TRUE,FALSE,FALSE
Hamlet,"Hamlet, Prince of Denmark",1524,Tragedy,1600,9,0,1,Elizabethan,FALSE,FALSE,FALSE
Julius Caesar,Julius Caesar,1522,Tragedy,1599,10,0,1,Elizabethan,FALSE,FALSE,TRUE
King Lear,The Tragedy of King Lear,1532,Tragedy,1606,10,0,1,Jacobean,FALSE,FALSE,FALSE
Macbeth,Macbeth,1533,Tragedy,1606,8,0,1,Jacobean,FALSE,FALSE,FALSE
Othello,"Othello, the Moor of Venice",1531,Tragedy,1604,4,0,1,Jacobean,FALSE,FALSE,FALSE
Romeo and Juliet,Romeo and Juliet,1513,Tragedy,1595,6,0,1,Elizabethan,FALSE,FALSE,FALSE
Timon of Athens,The Life of Timon of Athens,1536,Tragedy,1604,3,0,1,Jacobean,FALSE,FALSE,FALSE
Titus Andronicus,The Tragedy of Titus Andronicus,1507,Tragedy,1591,14,0,1,Elizabethan,FALSE,FALSE,TRUE
Troilus and Cressida,The History of Troilus and Cressida,1528,Tragedy,1602,6,1,1,Elizabethan,FALSE,TRUE,FALSE
