short_title,genre,total_tokens,unique_words,characters
Hamlet,Tragedy,30518,4755,40
Richard III,History,29474,4058,66
Coriolanus,Tragedy,27731,4042,71
Cymbeline,Tragedy,27626,4267,44
Othello,Tragedy,26520,3813,26
King Lear,Tragedy,26247,4195,27
"Henry IV, Part 2",History,26141,4074,48
Troilus and Cressida,Tragedy,25994,4201,30
Henry V,History,25993,4494,48
"Henry VI, Part 2",History,25930,4078,44
Winter's Tale,Comedy,25162,3909,34
Antony and Cleopatra,Tragedy,24862,3943,59
"Henry IV, Part 1",History,24772,3849,34
"Henry VI, Part 3",History,24583,3587,38
Romeo and Juliet,Tragedy,24557,3697,31
Henry VIII,History,24542,3640,48
All's Well That Ends Well,Comedy,23096,3534,24
Richard II,History,22512,3677,38
Merry Wives of Windsor,Comedy,22179,3246,27
Love's Labour's Lost,Comedy,22019,3707,18
As You Like It,Comedy,21886,3240,27
Measure for Measure,Comedy,21784,3324,25
"Henry VI, Part 1",History,21705,3862,55
Merchant of Venice,Comedy,21411,3283,25
Much Ado about Nothing,Comedy,21268,2973,24
King John,History,20921,3569,29
Titus Andronicus,Tragedy,20857,3386,27
Twelfth Night,Comedy,19945,3119,19
Julius Caesar,Tragedy,19789,2902,48
Taming of the Shrew,Comedy,18838,2971,28
Pericles,History,18636,3299,47
Timon of Athens,Tragedy,18524,3299,60
Two Gentlemen of Verona,Comedy,17314,2711,18
Macbeth,Tragedy,17157,3347,40
Tempest,Comedy,16794,3202,20
A Midsummer Night's Dream,Comedy,16611,2993,32
Comedy of Errors,Comedy,14764,2534,18
